FID,UNIT_CODE,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,PARKNAME,POINT_X,POINT_Y
142,ELRO,Eleanor Roosevelt National Historic Site,4/22/2011 0:00:00,NY,NE,1888914,National Historic Site,Lands,Eleanor Roosevelt,-73.900607545000000,41.763378363999998
143,FRHI,Friendship Hill National Historic Site,4/14/2011 0:00:00,PA,NE,1888922,National Historic Site,Lands,Friendship Hill,-79.925280088999997,39.775455694999998
144,THRB,Theodore Roosevelt Birthplace National Historic Site,3/28/2011 0:00:00,NY,NE,2083047,National Historic Site,Lands,Theodore Roosevelt Birthplace,-73.989012680000002,40.738593115000000
145,CORO,Coronado National Memorial,2/14/2011 0:00:00,AZ,IM,40512,National Memorial,Lands,Coronado,-110.256157381999998,31.349003974999999
146,WRBR,Wright Brothers National Memorial,5/23/2011 0:00:00,NC,SE,1027483,National Memorial,Lands,Wright Brothers,-75.670220356000002,36.016211622000000
147,SEMO,Selma to Montgomery National Historic Trail,5/19/2011 0:00:00,AL,SE,2733435,National Historic Trail,Lands,Selma to Montgomery,-86.728237019999995,32.270820925000002
148,KIMO,Kings Mountain National Military Park,6/27/2011 0:00:00,SC,SE,1223739,National Military Park,Lands,Kings Mountain,-81.389787115999994,35.139007231999997
149,GOSP,Golden Spike National Historic Site,2/17/2011 0:00:00,UT,IM,1428242,National Historic Site,Lands,Golden Spike,-112.493986200999998,41.630996639000003
150,NEBE,New Bedford Whaling National Historical Park,7/15/2011 0:00:00,MA,NE,2733436,National Historical Park,Lands,New Bedford Whaling,-70.923196159000000,41.635647968999997
151,SAHI,Sagamore Hill National Historic Site,7/29/2011 0:00:00,NY,NE,970557,National Historic Site,Lands,Sagamore Hill,-73.496686531999998,40.885572807000003
152,LABE,Lava Beds National Monument,9/6/2011 0:00:00,CA,PW,262358,National Monument,Lands,Lava Beds,-121.517796282000006,41.758764237999998
153,WORI,Women's Rights National Historical Park,8/19/2011 0:00:00,NY,NE,1888975,National Historical Park,Lands,Women's Rights,-76.844513570999993,42.902620073999998
